customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-10019,Male,0,No,No,55,Yes,No,Fiber optic,No,No,No,No,No internet service,No,One year,Yes,Electronic check,107.0,5821.4,1
CUST-10020,Female,0,Yes,No,44,No,No,DSL,No internet service,No,No internet service,No,No,No,Month-to-month,No,Electronic check,105.13,4741.6,0
CUST-10021,Male,0,No,No,43,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),76.64,3343.8,1
CUST-10022,Male,0,No,No,23,Yes,Yes,Fiber optic,No,No,Yes,No internet service,Yes,Yes,Two year,No,Credit card (automatic),73.26,1703.17,0
CUST-10023,Female,0,No,No,67,Yes,No phone service,DSL,No internet service,No,No,Yes,No internet service,Yes,Month-to-month,No,Mailed check,86.04,5702.72,0
CUST-10024,Female,0,No,No,6,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,Yes,No internet service,Two year,Yes,Bank transfer (automatic),66.22,477.58,0
CUST-10025,Female,0,No,No,63,Yes,No phone service,DSL,No,No internet service,Yes,Yes,No,Yes,One year,Yes,Electronic check,84.5,5407.2,0
CUST-10026,Male,0,No,Yes,63,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),88.94,5614.88,0
CUST-10027,Female,1,No,No,19,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,86.7,1742.9,1
CUST-10028,Female,0,Yes,No,37,Yes,Yes,Fiber optic,No,No,No,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,104.16,3868.16,1
CUST-10029,Male,0,Yes,No,64,Yes,No,Fiber optic,No internet service,Yes,No,Yes,No,Yes,One year,No,Electronic check,80.26,5159.55,0
CUST-10030,Male,0,Yes,No,34,Yes,No phone service,DSL,Yes,Yes,No internet service,No,No internet service,Yes,Two year,No,Mailed check,118.75,4037.78,0
CUST-10031,Male,0,No,No,21,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,84.07,1806.31,1
CUST-10032,Male,0,Yes,Yes,5,Yes,No,DSL,No,Yes,No,Yes,No,No internet service,Two year,Yes,Electronic check,60.11,331.56,0
CUST-10033,Female,0,No,Yes,32,Yes,No,No,No,Yes,No,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,95.43,3029.93,1
CUST-10034,Female,1,Yes,No,20,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,89.48,1734.7,0
CUST-10035,Male,0,Yes,Yes,62,Yes,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,One year,No,Electronic check,68.69,4250.73,1
CUST-10036,Female,0,No,No,62,Yes,Yes,DSL,No internet service,No internet service,No,No,No,No,Month-to-month,Yes,Electronic check,71.7,4483.58,1
CUST-10037,Female,0,No,Yes,23,Yes,No,No,No internet service,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,86.51,1982.61,1
CUST-10038,Male,0,Yes,No,15,Yes,Yes,Fiber optic,Yes,No internet service,No,No,Yes,No,Month-to-month,Yes,Electronic check,95.07,1380.84,1
CUST-10039,Female,0,Yes,No,21,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,Yes,No,One year,No,Credit card (automatic),71.61,1501.36,0
CUST-10040,Male,0,Yes,No,29,Yes,No,Fiber optic,No,No internet service,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),109.08,3105.7,1
CUST-10041,Female,1,Yes,No,48,Yes,No,DSL,No,Yes,No,No,No,No internet service,Two year,Yes,Electronic check,87.64,4180.23,0
CUST-10042,Female,0,Yes,Yes,11,Yes,Yes,No,No,No,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,62.09,593.19,1
CUST-10043,Male,0,No,No,72,Yes,Yes,DSL,No internet service,No,No,No,No internet service,Yes,One year,No,Bank transfer (automatic),42.24,3048.17,0
CUST-10044,Male,0,Yes,No,51,No,Yes,No,No,No,No internet service,Yes,No,Yes,One year,Yes,Electronic check,28.9,1514.05,0
CUST-10045,Female,1,Yes,No,9,Yes,No phone service,No,No,Yes,No,No,No internet service,No,One year,No,Bank transfer (automatic),19.05,173.95,1
CUST-10046,Male,0,Yes,Yes,22,No,Yes,Fiber optic,Yes,Yes,No internet service,Yes,No,Yes,Month-to-month,No,Mailed check,83.15,1850.17,1
CUST-10047,Female,0,Yes,No,51,Yes,No phone service,No,No,No,No,No,No internet service,Yes,Month-to-month,Yes,Electronic check,79.22,4048.97,1
CUST-10048,Female,1,No,No,36,Yes,Yes,DSL,No,No,Yes,No internet service,Yes,Yes,Month-to-month,No,Electronic check,37.75,1383.49,1
CUST-10049,Female,0,Yes,No,38,Yes,No,Fiber optic,No,No,No internet service,No internet service,No,Yes,Two year,No,Electronic check,66.1,2542.42,0
CUST-10050,Female,1,Yes,No,3,Yes,No,Fiber optic,No internet service,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),55.64,198.55,0
CUST-10051,Male,0,No,No,29,No,No,Fiber optic,No internet service,No,No,No internet service,Yes,No,One year,No,Mailed check,105.63,3121.5,0
CUST-10052,Male,0,No,No,44,Yes,No,Fiber optic,No internet service,No,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,118.75,5144.7,1
CUST-10053,Male,0,No,No,54,Yes,No,Fiber optic,No,No,No internet service,No internet service,No,No,One year,No,Mailed check,95.07,5172.92,1
CUST-10054,Male,0,No,No,32,No,No,Fiber optic,No,No internet service,No internet service,No internet service,No,No internet service,Two year,No,Mailed check,99.44,3171.25,0
CUST-10055,Male,0,No,No,40,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,74.2,2944.28,0
CUST-10056,Female,0,No,No,16,Yes,No phone service,Fiber optic,No internet service,No,No,No internet service,No internet service,Yes,Two year,No,Electronic check,86.3,1284.17,0
CUST-10057,Male,0,No,No,58,Yes,No,DSL,No,No,No,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),88.91,5077.32,1
CUST-10058,Female,0,Yes,No,50,Yes,Yes,Fiber optic,Yes,Yes,No,No,No internet service,No,Two year,No,Credit card (automatic),71.68,3558.95,0
CUST-10059,Female,0,No,Yes,54,No,Yes,DSL,Yes,No,Yes,No,No,Yes,Two year,No,Mailed check,87.74,4696.36,0
CUST-10060,Female,0,No,Yes,48,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No,No,Yes,Two year,No,Electronic check,83.64,4064.72,1
CUST-10061,Female,0,No,No,71,Yes,No,No,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,49.12,3524.1,0
CUST-10062,Male,0,Yes,No,64,Yes,No,No,No,No,No internet service,Yes,No,No,Two year,Yes,Electronic check,38.71,2552.82,0
CUST-10063,Female,1,No,Yes,59,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),47.64,2803.38,1
CUST-10064,Male,0,Yes,No,24,Yes,No,DSL,Yes,No,Yes,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),89.78,2187.4,0
CUST-10065,Male,0,No,No,4,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),87.52,271.36,1
CUST-10066,Female,0,Yes,No,0,Yes,Yes,Fiber optic,No internet service,No,No,No,No,Yes,Two year,Yes,Electronic check,88.55,119.54,1
CUST-10067,Male,0,No,No,56,Yes,No,DSL,Yes,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),112.81,6407.45,0
CUST-10068,Male,0,No,Yes,65,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),52.68,3382.7,0
CUST-10069,Male,0,Yes,No,47,Yes,Yes,DSL,No,Yes,No,No,Yes,No,One year,No,Credit card (automatic),59.92,2896.45,0
CUST-10070,Female,0,Yes,Yes,52,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,No internet service,No,Two year,Yes,Electronic check,58.91,3005.57,0
CUST-10071,Male,1,Yes,No,6,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),83.38,466.6,1
CUST-10072,Male,0,No,Yes,41,Yes,Yes,No,No internet service,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),58.04,2380.28,0
CUST-10073,Male,0,No,No,44,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),20.83,872.69,0
CUST-10074,Female,1,No,No,11,Yes,No,DSL,No,Yes,No internet service,No internet service,No internet service,No,One year,Yes,Electronic check,96.42,1090.89,0
CUST-10075,Male,1,Yes,No,54,Yes,No phone service,Fiber optic,No,Yes,No internet service,No,Yes,Yes,One year,No,Electronic check,81.77,4472.2,0
CUST-10076,Male,0,No,No,24,Yes,Yes,No,No,No,No,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),46.35,1041.44,0
CUST-10077,Male,0,No,No,14,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),89.32,1256.34,1
CUST-10078,Female,0,Yes,No,50,Yes,No,DSL,Yes,No,Yes,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),46.16,2258.28,0
CUST-10079,Female,0,Yes,Yes,31,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,Yes,Yes,Month-to-month,No,Electronic check,79.14,2467.15,1
CUST-10080,Female,0,Yes,No,39,Yes,Yes,No,No internet service,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,57.82,2269.77,1
CUST-10081,Male,0,Yes,No,39,No,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,72.98,2814.25,1
CUST-10082,Male,0,Yes,No,45,Yes,No,Fiber optic,No internet service,No,Yes,No,No internet service,No internet service,Two year,No,Electronic check,79.65,3575.91,0
CUST-10083,Female,0,Yes,No,30,Yes,No,Fiber optic,Yes,No,No,No internet service,Yes,No,Month-to-month,No,Electronic check,82.93,2493.0,1
CUST-10084,Female,0,Yes,No,59,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,100.64,5903.67,1
CUST-10085,Female,0,Yes,No,63,Yes,Yes,DSL,No internet service,No,Yes,No,No internet service,Yes,Two year,No,Electronic check,102.71,6387.15,0
CUST-10086,Male,0,Yes,Yes,35,Yes,Yes,DSL,No,No,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,71.03,2524.89,0
CUST-10087,Male,0,No,No,12,Yes,No,Fiber optic,No internet service,No internet service,No,No internet service,No,Yes,Month-to-month,Yes,Electronic check,71.89,901.06,1
CUST-10088,Female,0,No,Yes,20,Yes,Yes,DSL,No,No internet service,No,No internet service,Yes,No,Month-to-month,Yes,Mailed check,118.75,2411.11,0
CUST-10089,Female,1,Yes,No,56,Yes,No,DSL,No internet service,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,95.0,5270.11,0
CUST-10090,Male,1,No,No,18,Yes,No,Fiber optic,Yes,No internet service,Yes,No,Yes,Yes,Two year,No,Mailed check,87.24,1558.69,1
CUST-10091,Female,1,No,No,56,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),62.63,3425.51,0
CUST-10092,Female,1,Yes,Yes,48,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,118.75,5804.3,1
CUST-10093,Male,1,Yes,No,32,Yes,No,No,No internet service,No,No,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),32.67,979.07,1
CUST-10094,Female,0,Yes,No,9,Yes,No,Fiber optic,Yes,No,No internet service,No,Yes,No,Month-to-month,No,Electronic check,89.97,872.31,1
CUST-10095,Male,0,No,No,39,No,No,DSL,Yes,No internet service,Yes,No,No,No,Month-to-month,No,Mailed check,88.57,3415.5,0
CUST-10096,Male,0,Yes,No,50,Yes,No,DSL,No internet service,No,No internet service,No,Yes,No,Month-to-month,Yes,Credit card (automatic),78.73,3951.68,0
CUST-10097,Female,0,Yes,No,11,Yes,Yes,Fiber optic,No,No,No internet service,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),70.74,765.27,1
CUST-10098,Female,0,No,No,60,Yes,Yes,Fiber optic,No,No,No internet service,No,Yes,No internet service,One year,No,Bank transfer (automatic),81.78,4887.78,1
CUST-10099,Male,0,No,Yes,14,No,No,No,Yes,Yes,Yes,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),49.55,714.05,0
CUST-10100,Female,1,Yes,No,30,Yes,No,Fiber optic,No,No,No internet service,No,Yes,No internet service,One year,No,Credit card (automatic),66.41,1964.83,0
CUST-10101,Male,0,No,No,38,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,Yes,Yes,Two year,Yes,Electronic check,86.26,3197.29,0
CUST-10102,Female,1,No,No,53,Yes,No,Fiber optic,No,No internet service,No,No,Yes,No,Two year,Yes,Credit card (automatic),118.75,6285.46,0
CUST-10103,Male,0,No,Yes,16,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),118.75,1955.72,1
CUST-10104,Female,0,No,No,24,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,70.36,1689.37,1
CUST-10105,Female,0,No,No,58,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,88.54,5088.36,1
CUST-10106,Female,0,Yes,No,24,Yes,Yes,DSL,No internet service,Yes,No internet service,No,No,No,Two year,Yes,Bank transfer (automatic),70.71,1835.27,0
CUST-10107,Female,0,Yes,Yes,44,Yes,No phone service,Fiber optic,No,No internet service,Yes,No internet service,No,No,One year,No,Credit card (automatic),47.69,2098.64,0
CUST-10108,Male,0,No,No,29,Yes,No,Fiber optic,No internet service,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,98.82,2823.36,1
CUST-10109,Female,1,Yes,No,4,Yes,No phone service,No,No,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,54.92,327.09,1
CUST-10110,Male,0,No,Yes,37,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,95.35,3441.28,1
CUST-10111,Female,0,Yes,No,26,Yes,No phone service,No,No,No,No internet service,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.89,1796.54,1
CUST-10112,Female,0,No,No,19,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No,Yes,Month-to-month,Yes,Mailed check,102.01,1989.28,1
CUST-10113,Male,0,Yes,No,62,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No internet service,One year,No,Electronic check,102.26,6292.61,1
CUST-10114,Female,0,Yes,Yes,56,Yes,No,Fiber optic,No,No,No,Yes,Yes,No internet service,One year,Yes,Credit card (automatic),68.95,3897.54,0
CUST-10115,Female,0,No,No,20,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,53.22,1107.29,0
CUST-10116,Male,0,Yes,Yes,38,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No,No internet service,Two year,No,Mailed check,61.53,2441.66,0
CUST-10117,Male,0,No,No,52,Yes,Yes,DSL,No,No,Yes,No internet service,Yes,Yes,Two year,Yes,Credit card (automatic),67.01,3537.88,0
CUST-10118,Male,0,No,No,3,Yes,Yes,Fiber optic,Yes,No,No,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),118.75,333.35,1
CUST-10119,Male,0,No,No,6,Yes,No phone service,No,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,60.18,324.29,1
CUST-10120,Male,0,No,Yes,39,Yes,No phone service,Fiber optic,No,No,No,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),95.5,3671.88,1
CUST-10121,Female,0,No,No,67,Yes,No,No,No,Yes,No,No,No,No internet service,Month-to-month,Yes,Electronic check,48.98,3225.73,0
CUST-10122,Female,0,No,Yes,67,Yes,No phone service,No,No internet service,No internet service,Yes,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),49.26,3319.92,1
CUST-10123,Male,0,Yes,No,32,No,No,DSL,No internet service,No internet service,No,No,Yes,Yes,Two year,No,Mailed check,77.96,2405.93,0
CUST-10124,Female,0,No,No,51,Yes,No phone service,No,No,No internet service,No,No internet service,Yes,No,Month-to-month,No,Electronic check,51.38,2628.39,0
CUST-10125,Female,0,No,No,35,Yes,Yes,Fiber optic,No,Yes,No,No internet service,No,Yes,Month-to-month,No,Electronic check,102.91,3505.27,1
CUST-10126,Male,0,Yes,No,66,Yes,Yes,DSL,No,Yes,No,No internet service,Yes,No,Two year,No,Electronic check,115.37,7627.44,0
CUST-10127,Female,0,No,Yes,41,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No,No internet service,Two year,Yes,Electronic check,118.63,4836.51,1
CUST-10128,Female,0,Yes,Yes,65,Yes,No,No,No,No internet service,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),41.02,2697.74,0
CUST-10129,Female,1,No,No,26,Yes,No,Fiber optic,No,No,Yes,No internet service,No internet service,No,Month-to-month,No,Electronic check,77.49,1879.68,1
CUST-10130,Female,0,Yes,No,67,Yes,No,DSL,Yes,No internet service,Yes,No internet service,No internet service,Yes,Two year,No,Bank transfer (automatic),64.3,4355.54,0
CUST-10131,Female,1,No,Yes,52,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,77.16,4012.91,0
CUST-10132,Male,0,Yes,No,56,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,55.03,3058.33,0
CUST-10133,Female,0,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,Yes,No internet service,Month-to-month,No,Mailed check,92.14,118.29,1
CUST-10134,Female,0,Yes,No,58,Yes,No,Fiber optic,No,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),81.71,4761.63,0
CUST-10135,Male,0,No,No,11,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,89.38,914.3,1
CUST-10136,Female,1,No,Yes,68,Yes,No,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,Yes,One year,No,Bank transfer (automatic),79.9,5440.75,0
CUST-10137,Male,0,No,Yes,13,Yes,Yes,DSL,Yes,Yes,No,No internet service,No internet service,No,One year,No,Mailed check,76.11,1025.98,0
CUST-10138,Male,0,Yes,No,60,Yes,No,No,No internet service,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,36.73,2124.4,0
CUST-10139,Male,0,Yes,No,46,Yes,No,DSL,Yes,Yes,Yes,No,No internet service,Yes,One year,Yes,Mailed check,62.16,2869.37,0
CUST-10140,Female,0,Yes,No,28,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,No,Mailed check,118.75,3385.21,1
CUST-10141,Male,0,No,No,65,No,No phone service,No,No internet service,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),25.43,1661.48,1
CUST-10142,Male,1,Yes,Yes,28,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),118.75,3301.49,1
CUST-10143,Male,0,No,No,4,Yes,No phone service,Fiber optic,No,No,Yes,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic),62.8,182.73,1
CUST-10144,Female,0,Yes,No,5,Yes,No,DSL,No internet service,No,Yes,No internet service,No,Yes,Month-to-month,No,Electronic check,58.33,236.66,1
CUST-10145,Female,0,No,Yes,62,Yes,No,Fiber optic,No internet service,No internet service,No,No internet service,No,No,Month-to-month,Yes,Mailed check,64.7,3991.43,0
CUST-10146,Male,0,Yes,No,28,Yes,No,Fiber optic,Yes,No,Yes,No internet service,No,No,Month-to-month,No,Credit card (automatic),82.15,2339.06,1
CUST-10147,Male,0,Yes,No,59,Yes,No,No,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),18.25,1106.39,0
CUST-10148,Female,1,Yes,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,109.62,89.6,1
CUST-10149,Male,0,Yes,No,5,Yes,No,DSL,Yes,Yes,No internet service,No internet service,No,Yes,Month-to-month,Yes,Electronic check,58.46,250.96,1
CUST-10150,Female,0,Yes,Yes,72,Yes,Yes,DSL,No,Yes,Yes,No,No,No internet service,Month-to-month,No,Electronic check,81.3,5822.68,0
CUST-10151,Male,0,Yes,No,10,Yes,Yes,No,Yes,Yes,No,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,84.5,902.74,0
CUST-10152,Female,0,No,No,50,No,Yes,Fiber optic,No internet service,Yes,No internet service,Yes,No,No,Two year,Yes,Electronic check,79.53,3900.32,0
CUST-10153,Male,0,No,Yes,25,Yes,No,DSL,No,No internet service,Yes,No,Yes,No internet service,Month-to-month,No,Electronic check,82.76,2069.69,1
CUST-10154,Male,0,Yes,No,36,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No internet service,No internet service,Two year,No,Mailed check,71.64,2551.74,0
CUST-10155,Female,0,No,No,8,Yes,No,DSL,No internet service,Yes,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,91.56,764.31,1
CUST-10156,Male,0,Yes,No,19,Yes,Yes,DSL,Yes,No internet service,No,No,No internet service,No internet service,One year,No,Credit card (automatic),81.9,1543.73,0
CUST-10157,Female,0,Yes,No,55,Yes,Yes,No,No,Yes,No internet service,No internet service,Yes,No internet service,One year,No,Mailed check,24.85,1301.76,0
CUST-10158,Female,1,Yes,No,39,Yes,No,Fiber optic,No internet service,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),117.12,4644.58,1
CUST-10159,Female,0,Yes,Yes,36,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,72.8,2629.55,1
CUST-10160,Female,1,Yes,Yes,68,Yes,Yes,No,Yes,Yes,Yes,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,46.59,3173.59,0
CUST-10161,Female,1,No,Yes,29,Yes,No phone service,No,No internet service,No,Yes,No,No,No,Month-to-month,No,Mailed check,63.74,1776.33,1
CUST-10162,Male,0,No,No,58,Yes,Yes,No,Yes,No,No,Yes,Yes,No,One year,Yes,Credit card (automatic),70.56,4073.92,0
CUST-10163,Male,0,No,No,52,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),69.3,3564.34,0
CUST-10164,Male,0,No,No,33,Yes,Yes,No,Yes,No internet service,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),68.56,2255.62,1
CUST-10165,Female,0,Yes,Yes,21,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),75.77,1494.77,0
CUST-10166,Male,0,No,Yes,25,No,Yes,No,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,45.07,1130.68,1
CUST-10167,Male,0,Yes,No,63,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),77.03,4892.14,0
CUST-10168,Male,0,Yes,Yes,22,Yes,No,DSL,No,Yes,No internet service,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),79.47,1718.4,0
CUST-10169,Male,0,Yes,No,47,Yes,No,DSL,Yes,Yes,No internet service,No internet service,No,No,Two year,No,Credit card (automatic),46.72,2206.8,0
CUST-10170,Male,1,Yes,No,9,Yes,Yes,DSL,No internet service,Yes,Yes,No internet service,Yes,Yes,Two year,Yes,Mailed check,58.31,470.32,0
CUST-10171,Male,0,No,No,25,Yes,No phone service,Fiber optic,No,No,Yes,No internet service,Yes,No,Two year,No,Bank transfer (automatic),56.34,1490.22,0
CUST-10172,Female,0,Yes,No,68,Yes,No,No,No,No,No,No,No,No internet service,One year,Yes,Electronic check,66.71,4482.84,0
CUST-10173,Female,1,Yes,No,39,Yes,Yes,DSL,Yes,No,Yes,No internet service,Yes,Yes,Two year,Yes,Mailed check,78.32,3042.49,0
